year;pbi
1961;2.493037918
1962;-1.57454885
1963;0.1704588557
1964;2.440520779
1965;1.045604054
1966;3.062855935
1967;-3.656834113
1968;1.888911745
1969;5.864740633
1970;2.333213381
1971;-0.251711531
1972;-1.319569862
1973;0.2751996174
1974;2.895344598
1975;6.096914313
1976;3.935470175
1977;1.455461178
1978;5.373985348
1979;6.199116732
1980;5.843400901
1981;1.559559829
1982;-9.757871461
1983;-10.2743992
1984;-1.14261745
1985;1.466536029
1986;8.809808295
1987;7.993137205
1988;1.480937462
1989;1.103901024
1990;0.2973483787
1991;3.538808505
1992;7.931588414
1993;2.657546107
1994;7.281342644
1995;-1.447598969
1996;5.577957764
1997;8.547683201
1998;4.518890097
1999;-1.52094592
2000;-1.929930635
2001;-3.844129959
2002;-7.732007215
2003;0.8052839159
2004;5.004160356
2005;7.46013213
2006;4.098577354
2007;6.541510845
2008;7.176144665
2009;4.243494195
2010;7.803409651
2011;5.162133025
2012;3.538178721
2013;4.637538629
2014;3.23879123
2015;0.3707412577
2016;1.68979823
2017;1.740376434
2018;0.1647776089
2019;0.9283511413
2020;-7.357327065
2021;5.844273126
2022;4.486227031
2023;0.7421287853
2024;3.108254781
